property_id,property_address,suburb,postcode,property_type,sale_price_aud,bedrooms,bathrooms,parking,listed_area_m2,sale_date,sale_year,sale_month,missing_feature_count,source_page,source_url,,,,,,,verification_status
P016,"180/22 Great Western Highway, Parramatta, NSW 2150",Parramatta,2150,Studio,270000,1,1,,,10/16/2025,2025,10,2,Parramatta sold listings page 1,https://www.realestate.com.au/sold/in-parramatta%2B2150/list-1,,,,,,,Verified
P017,"5101/330 Church Street, Parramatta, NSW 2150",Parramatta,2150,Apartment,815000,2,2,1,,10/15/2025,2025,10,1,Parramatta sold listings page 1,https://www.realestate.com.au/sold/in-parramatta%2B2150/list-1,,,,,,,Verified
P018,"6813/1A Morton Street, Parramatta, NSW 2150",Parramatta,2150,Apartment,650000,2,2,1,113,10/15/2025,2025,10,0,Parramatta sold listings page 1,https://www.realestate.com.au/sold/in-parramatta%2B2150/list-1,,,,,,,Verified
P019,"108/22-32 Great Western Highway, Parramatta, NSW 2150",Parramatta,2150,Studio,255000,1,1,,41,10/15/2025,2025,10,1,Parramatta sold listings page 1,https://www.realestate.com.au/sold/in-parramatta%2B2150/list-1,,,,,,,Verified
P020,"1106/12 Phillip Street, Parramatta, NSW 2150",Parramatta,2150,Apartment,790000,2,2,1,,10/14/2025,2025,10,1,Parramatta sold listings page 1,https://www.realestate.com.au/sold/in-parramatta%2B2150/list-1,,,,,,,Verified
P021,"304/25 Campbell Street, Parramatta, NSW 2150",Parramatta,2150,Apartment,625000,2,2,1,117,10/14/2025,2025,10,0,Parramatta sold listings page 1,https://www.realestate.com.au/sold/in-parramatta%2B2150/list-1,,,,,,,Verified
P022,"3/4-6 Broughton Street, Parramatta, NSW 2150",Parramatta,2150,Townhouse,1250000,3,2,2,,10/13/2025,2025,10,1,Parramatta sold listings page 1,https://www.realestate.com.au/sold/in-parramatta%2B2150/list-1,,,,,,,Verified
P023,"17/2-6 Campbell Street, Parramatta, NSW 2150",Parramatta,2150,Apartment,575000,2,1,1,,10/13/2025,2025,10,1,Parramatta sold listings page 1,https://www.realestate.com.au/sold/in-parramatta%2B2150/list-1,,,,,,,Verified
P024,"17/9-13 Early Street, Parramatta, NSW 2150",Parramatta,2150,Unit,855000,3,2,2,193,10/12/2025,2025,10,0,Parramatta sold listings page 1,https://www.realestate.com.au/sold/in-parramatta%2B2150/list-1,,,,,,,Verified
P025,"4/12 Henry Street, Parramatta, NSW 2150",Parramatta,2150,Unit,803000,2,2,1,146,10/11/2025,2025,10,0,Parramatta sold listings page 1,https://www.realestate.com.au/sold/in-parramatta%2B2150/list-1,,,,,,,Verified
P026,"3/22-24 Thomas Street, Parramatta, NSW 2150",Parramatta,2150,Apartment,667000,2,1,2,122,7/27/2026,2026,7,0,Parramatta sold listings page 2,https://www.realestate.com.au/sold/in-parramatta%2B2150/list-2,,,,,,,Verified
P027,"1330K/2 Morton Street, Parramatta, NSW 2150",Parramatta,2150,Apartment,740000,2,2,1,,7/25/2026,2026,7,1,Parramatta sold listings page 2,https://www.realestate.com.au/sold/in-parramatta%2B2150/list-2,,,,,,,Verified
P028,"15/7-11 Elizabeth Street, Parramatta, NSW 2150",Parramatta,2150,Apartment,650000,2,1,1,112,7/25/2026,2026,7,0,Parramatta sold listings page 2,https://www.realestate.com.au/sold/in-parramatta%2B2150/list-2,,,,,,,Verified
P029,"28/24 Campbell Street, Parramatta, NSW 2150",Parramatta,2150,Apartment,500000,2,2,1,,7/25/2026,2026,7,1,Parramatta sold listings page 2,https://www.realestate.com.au/sold/in-parramatta%2B2150/list-2,,,,,,,Verified
P030,"27/9-11 Cowper Street, Parramatta, NSW 2150",Parramatta,2150,Apartment,800000,3,2,2,149,7/23/2026,2026,7,0,Parramatta sold listings page 2,https://www.realestate.com.au/sold/in-parramatta%2B2150/list-2,,,,,,,Verified
P031,"2436/180 George Street, Parramatta, NSW 2150",Parramatta,2150,Apartment,880000,2,2,1,,7/22/2026,2026,7,1,Parramatta sold listings page 2,https://www.realestate.com.au/sold/in-parramatta%2B2150/list-2,,,,,,,Verified
P032,"1702/1A Morton Street, Parramatta, NSW 2150",Parramatta,2150,Apartment,667000,2,2,1,115,7/22/2026,2026,7,0,Parramatta sold listings page 2,https://www.realestate.com.au/sold/in-parramatta%2B2150/list-2,,,,,,,Verified
P033,"10/15-17 Queens Avenue, Parramatta, NSW 2150",Parramatta,2150,Apartment,615000,2,1,1,,7/22/2026,2026,7,1,Parramatta sold listings page 2,https://www.realestate.com.au/sold/in-parramatta%2B2150/list-2,,,,,,,Verified
L001,"3 Secant Street, Liverpool, NSW 2170",Liverpool,2170,House,2000000,4,2,2,676,9/15/2026,2026,9,0,Liverpool sold listings page 1,"https://www.realestate.com.au/sold/in-liverpool,%2Bnsw%2B2170/list-1",,,,,,,Verified
L002,"40 Maryvale Avenue, Liverpool, NSW 2170",Liverpool,2170,House,1200000,3,1,1,701.9,9/15/2026,2026,9,0,Liverpool sold listings page 1,"https://www.realestate.com.au/sold/in-liverpool,%2Bnsw%2B2170/list-1",,,,,,,Verified
L003,"8/8-10 Lachlan Street, Liverpool, NSW 2170",Liverpool,2170,Unit,550000,2,2,1,,9/15/2026,2026,9,1,Liverpool sold listings page 1,"https://www.realestate.com.au/sold/in-liverpool,%2Bnsw%2B2170/list-1",,,,,,,Verified
L004,"2/3-5 Nagle Street, Liverpool, NSW 2170",Liverpool,2170,Unit,480000,2,1,1,,9/14/2026,2026,9,1,Liverpool sold listings page 1,"https://www.realestate.com.au/sold/in-liverpool,%2Bnsw%2B2170/list-1",,,,,,,Verified
L005,"41 Tully Avenue, Liverpool, NSW 2170",Liverpool,2170,House,1150000,6,2,2,588.1,9/11/2026,2026,9,0,Liverpool sold listings page 1,"https://www.realestate.com.au/sold/in-liverpool,%2Bnsw%2B2170/list-1",,,,,,,Verified
L006,"501/311 Hume Highway, Liverpool, NSW 2170",Liverpool,2170,Unit,600000,2,2,1,,9/11/2026,2026,9,1,Liverpool sold listings page 1,"https://www.realestate.com.au/sold/in-liverpool,%2Bnsw%2B2170/list-1",,,,,,,Verified
